# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 106000: loss=0.172441, 1-cos=0.070042
Step 106200: loss=0.189796, 1-cos=0.080763
Step 106400: loss=0.162565, 1-cos=0.069669
Step 106600: loss=0.171329, 1-cos=0.071999
Step 106800: loss=0.176553, 1-cos=0.072942
Step 107000: loss=0.174930, 1-cos=0.078659
Step 107200: loss=0.193148, 1-cos=0.080492
Step 107400: loss=0.182801, 1-cos=0.078480
Step 107600: loss=0.154799, 1-cos=0.064357
Step 107800: loss=0.158375, 1-cos=0.065665
Step 108000: loss=0.165667, 1-cos=0.071636
Step 108200: loss=0.195072, 1-cos=0.083576
Step 108400: loss=0.191165, 1-cos=0.081014
Step 108600: loss=0.192072, 1-cos=0.080716
Step 108800: loss=0.148806, 1-cos=0.061292
Step 109000: loss=0.194467, 1-cos=0.080709
Step 109200: loss=0.169282, 1-cos=0.070169
Step 109400: loss=0.163404, 1-cos=0.067150
Step 109600: loss=0.163709, 1-cos=0.067524
